Assembly,Order,Family,Genus,Species,Release_Date
GCF_000916255.2,Caudovirales,Myoviridae,Otagovirus,Pseudomonas virus Psa374,2020-07-19T18:22:52.380Z
GCF_002630785.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage phi7247PVL,2020-06-19T13:41:17.783Z
GCF_004768945.1,Caudovirales,Demerecviridae,Tequintavirus,Escherichia phage SP15,2020-06-19T13:36:20.583Z
GCF_005891605.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage PA01,2020-06-19T13:36:13.520Z
GCF_012163105.1,Caudovirales,Chaseviridae,Loessnervirus,Pantoea phage vB_PagM_SSEM1,2020-06-19T13:09:33.697Z
GCF_011756735.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage atrejo,2020-06-19T13:09:11.563Z
GCF_011757045.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage oselot,2020-06-19T13:09:02.570Z
GCF_011756755.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage bastian,2020-06-19T13:08:55.523Z
GCF_011756965.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage fuchur,2020-06-19T13:08:49.267Z
GCF_011757115.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage rokbiter,2020-06-19T13:08:42.070Z
GCF_011895175.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage faergetype,2020-06-19T13:08:35.113Z
GCF_011756805.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage bombadil,2020-06-19T13:08:28.650Z
GCF_011757035.1,Caudovirales,Demerecviridae,Tequintavirus,Salmonella phage oldekolle,2020-06-19T13:08:22.040Z
GCF_011756775.1,Caudovirales,Myoviridae,Rosemountvirus,Salmonella phage birk,2020-06-19T13:08:15.773Z
GCF_011757235.1,Caudovirales,Myoviridae,Rosemountvirus,Salmonella phage yarpen,2020-06-19T13:08:09.873Z
GCF_011756515.1,Caudovirales,Demerecviridae,Tequintavirus,Phage NBSal005,2020-06-19T13:07:31.150Z
GCF_011756495.1,Caudovirales,Demerecviridae,Tequintavirus,Phage NBSal003,2020-06-19T13:07:24.323Z
GCF_011756445.1,Caudovirales,Demerecviridae,Tequintavirus,Phage NBEco002,2020-06-19T13:07:18.290Z
GCF_011756435.1,Caudovirales,Demerecviridae,Tequintavirus,Phage NBEco001,2020-06-19T13:07:06.740Z
GCF_011067695.1,Caudovirales,Demerecviridae,Tequintavirus,Salmonella phage L6jm,2020-06-19T13:07:01.263Z
GCF_011067485.1,Caudovirales,Siphoviridae,Montyvirus,Gordonia phage John316,2020-06-19T13:06:55.100Z
GCF_011067465.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Cornie,2020-06-19T13:06:49.667Z
GCF_010120295.1,Caudovirales,Chaseviridae,Carltongylesvirus,Escherichia phage flopper,2020-06-19T13:06:17.570Z
GCF_009860475.1,Caudovirales,Siphoviridae,Unahavirus,Flavobacterium phage vB_FspS_laban6-1,2020-06-19T13:05:13.813Z
GCF_009800445.1,Caudovirales,Myoviridae,Aphroditevirus,Photobacterium phage PDCC-1,2020-06-19T13:03:56.457Z
GCF_009672425.1,Caudovirales,Siphoviridae,Montyvirus,Gordonia phage Jellybones,2020-06-19T13:03:51.027Z
GCF_009388245.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage 1-19,2020-06-19T13:03:30.470Z
GCF_009296085.1,Caudovirales,Demerecviridae,Tequintavirus,Escherichia virus VEc33,2020-06-19T13:03:18.340Z
GCF_008605725.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage 1-29,2020-06-19T13:02:32.227Z
GCF_008704675.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage 2-3,2020-06-19T13:02:18.633Z
GCF_008605645.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage OSY-STA,2020-06-19T13:02:11.917Z
GCF_008375615.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus PA8P1,2020-06-19T13:01:57.690Z
GCF_008214915.1,Caudovirales,Chaseviridae,Carltongylesvirus,Escherichia phage Mangalitsa,2020-06-19T13:01:09.307Z
GCF_007998475.1,Caudovirales,Demerecviridae,Tequintavirus,Salmonella phage Th1,2020-06-19T13:00:42.490Z
GCF_008000675.1,Caudovirales,Demerecviridae,Tequintavirus,Salmonella virus VSe12,2020-06-19T13:00:36.337Z
GCF_006965385.1,Caudovirales,Siphoviridae,Samwavirus,Corynebacterium phage Adelaide,2020-06-19T13:00:11.053Z
GCF_006535715.1,Caudovirales,Siphoviridae,Samwavirus,Corynebacterium phage Lederberg,2020-06-19T13:00:03.630Z
GCF_006530595.1,Caudovirales,Siphoviridae,Samwavirus,Corynebacterium phage Stiles,2020-06-19T12:59:57.997Z
GCF_006535815.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage ThetaBob,2020-06-19T12:59:49.533Z
GCF_006530535.1,Caudovirales,Siphoviridae,Samwavirus,Corynebacterium phage Dina,2020-06-19T12:59:44.027Z
GCF_008227565.1,Caudovirales,Demerecviridae,Tequintavirus,Salmonella phage SE11,2020-06-19T12:59:38.347Z
GCF_008222785.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage SE24,2020-06-19T12:59:29.890Z
GCF_007311315.1,Caudovirales,Siphoviridae,Montyvirus,Gordonia phage Beaver,2020-06-19T12:59:18.197Z
GCF_008946025.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage vB_SenS_SB13,2020-06-19T12:59:06.117Z
GCF_006965305.1,Caudovirales,Siphoviridae,Samwavirus,Corynebacterium phage StAB,2020-06-19T12:58:59.610Z
GCF_006864065.1,Caudovirales,Myoviridae,Aphroditevirus,Vibrio phage USC-1,2020-06-19T12:58:53.183Z
GCF_006530315.1,Caudovirales,Siphoviridae,Woesvirus,Gordonia phage Chelms,2020-06-19T12:57:37.127Z
GCF_008214835.1,Caudovirales,Myoviridae,Loughboroughvirus,Salmonella phage SE4,2020-06-19T12:57:06.933Z
GCF_006863005.1,Caudovirales,Myoviridae,Rosemountvirus,Salmonella phage SE13,2020-06-19T12:57:00.943Z
GCF_005574455.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella phage Sepoy,2020-06-19T12:56:40.160Z
GCF_005892405.1,Caudovirales,Demerecviridae,Tequintavirus,Escherichia phage vB_EcoS_HdH2,2020-06-19T12:55:22Z
GCF_006964105.1,Caudovirales,Myoviridae,Aphroditevirus,Vibrio phage 2 TSL-2019,2020-06-19T12:55:15.820Z
GCF_004149665.1,Caudovirales,Siphoviridae,Montyvirus,Gordonia phage Sombrero,2020-06-19T12:55:08.677Z
GCF_004138895.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage vB_PaeM_SCUT-S1,2020-06-19T12:55:02.340Z
GCF_004015945.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage EPa61,2020-06-19T12:54:56.340Z
GCF_004008635.1,Caudovirales,Siphoviridae,Barnyardvirus,Mycobacterium phage DrLupo,2020-06-19T12:54:50.490Z
GCF_003575585.1,Caudovirales,Demerecviridae,Tequintavirus,Escherichia phage fp01,2020-06-19T12:53:29.487Z
GCF_003442995.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Renaud18,2020-06-19T12:53:15.320Z
GCF_003575645.1,Caudovirales,Siphoviridae,Chivirus,Salmonella phage Siskin,2020-06-19T12:53:00.783Z
GCF_003369005.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Eltigre,2020-06-19T12:51:52.827Z
GCF_003368925.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Lucielle,2020-06-19T12:51:43.123Z
GCF_003368905.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Kawika,2020-06-19T12:51:36.297Z
GCF_003368785.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage SA345ruMSSAST8,2020-06-19T12:51:23.580Z
GCF_003575805.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage SA780ruMSSAST101,2020-06-19T12:51:10.557Z
GCF_003368685.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage SA1014ruMSSAST7,2020-06-19T12:51:04.127Z
GCF_003308095.1,Caudovirales,Siphoviridae,Rerduovirus,Rhodococcus phage Takoda,2020-06-19T12:50:52.240Z
GCF_003143175.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage TChen,2020-06-19T12:50:33.893Z
GCF_002997455.1,Caudovirales,Podoviridae,Gamaleyavirus,Klebsiella phage KP8,2020-06-19T12:50:00.050Z
GCF_002997435.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage vB_PaeM_LS1,2020-06-19T12:49:54.343Z
GCF_002958695.1,Caudovirales,Siphoviridae,Montyvirus,Gordonia phage Adgers,2020-06-19T12:49:29.727Z
GCF_002958175.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Likha,2020-06-19T12:49:15.247Z
GCF_002958165.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Leyra,2020-06-19T12:49:08.780Z
GCF_002958205.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Tadhana,2020-06-19T12:49:02.783Z
GCF_002958195.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage Pagassa,2020-06-19T12:48:53.857Z
GCF_002958185.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage PBL1c,2020-06-19T12:48:47.467Z
GCF_002958135.1,Caudovirales,Siphoviridae,Sitaravirus,Paenibacillus phage BN12,2020-06-19T12:48:39.950Z
GCF_003850205.1,Caudovirales,Siphoviridae,Chivirus,Salmonella phage KFS-SE1,2020-06-19T12:48:00.813Z
GCF_002957815.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage phiSa2wa_st22,2020-06-19T12:47:48.970Z
GCF_002956005.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage SL1,2020-06-19T12:47:12.303Z
GCF_003522505.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage BrSP1,2020-06-19T12:47:05.650Z
GCF_002625825.1,Caudovirales,Siphoviridae,Rerduovirus,Rhodococcus phage Hiro,2020-06-19T12:46:16.260Z
GCF_900604365.1,Caudovirales,Siphoviridae,Chivirus,Salmonella virus YSD1,2020-06-19T12:45:57.570Z
GCF_005892705.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage R26,2020-06-19T12:45:36.773Z
GCF_005892685.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage R12,2020-06-19T12:45:30.730Z
GCF_002621065.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage SA7,2020-06-19T12:45:04.017Z
GCF_002620825.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage IME1361_01,2020-06-19T12:44:57.580Z
GCF_002989985.1,Caudovirales,Siphoviridae,Chivirus,Salmonella phage BSPM4,2020-06-19T12:44:48.663Z
GCF_002614905.1,Caudovirales,Myoviridae,Rosemountvirus,Salmonella phage UPF_BP2,2020-06-19T12:43:33.447Z
GCF_008894185.1,Caudovirales,Siphoviridae,Chivirus,Salmonella phage ST-101,2020-06-19T12:43:27.427Z
GCF_002618805.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage 3 AJ-2017,2020-06-19T12:43:00.047Z
GCF_002610875.1,Caudovirales,Myoviridae,Lubbockvirus,Clostridium phage CDKM15,2020-06-19T12:42:53.030Z
GCF_002610845.1,Caudovirales,Myoviridae,Lubbockvirus,Clostridium phage CDKM9,2020-06-19T12:42:47.310Z
GCF_002609985.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage P1105,2020-06-19T12:42:09.070Z
GCF_002607625.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage P630,2020-06-19T12:42:03.390Z
GCF_002607605.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage P282,2020-06-19T12:41:57.373Z
GCF_002599365.1,Caudovirales,Siphoviridae,Chivirus,Salmonella phage 35,2020-06-19T12:41:43.983Z
GCF_002626265.2,Caudovirales,Siphoviridae,Poushouvirus,Corynebacterium virus Poushou,2020-05-28T18:11:16.733Z
GCF_900178515.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia virus swan01,2020-05-15T16:41:31.363Z
GCF_900016765.1,Caudovirales,Autographiviridae,Ghunavirus,Pseudomonas virus 17A,2020-05-15T16:41:22.503Z
GCF_900007805.1,Caudovirales,Autographiviridae,Ghunavirus,Pseudomonas virus shl2,2020-05-15T16:41:14.427Z
GCF_006304615.1,Caudovirales,Siphoviridae,Feofaniavirus,Erwinia virus Eho59,2020-05-15T16:40:58.573Z
GCF_006304545.1,Caudovirales,Siphoviridae,Feofaniavirus,Erwinia virus Eho49,2020-05-15T16:40:50.717Z
GCF_005892245.1,Caudovirales,Myoviridae,Phapecoctavirus,Escherichia virus Schickermooser,2020-05-15T16:40:42.960Z
GCF_005892205.1,Caudovirales,Myoviridae,Wifcevirus,Escherichia virus WFC,2020-05-15T16:40:34.887Z
GCF_005892185.1,Caudovirales,Myoviridae,Wifcevirus,Escherichia virus WFH,2020-05-15T16:40:26.360Z
GCF_005892145.1,Caudovirales,Podoviridae,Xuquatrovirus,Escherichia virus PTXU04,2020-05-15T16:40:18.317Z
GCF_005890215.1,Caudovirales,Siphoviridae,Fibralongavirus,Staphylococcus virus QT1,2020-05-15T16:40:10.420Z
GCF_005568555.1,Caudovirales,Myoviridae,Barbavirus,Rheinheimera virus Barba21A,2020-05-15T16:40:01.420Z
GCF_005568375.1,Caudovirales,Myoviridae,Barbavirus,Rheinheimera virus Barba19A,2020-05-15T16:39:52.490Z
GCF_005568315.1,Caudovirales,Myoviridae,Barbavirus,Rheinheimera virus Barba18A,2020-05-15T16:39:44.867Z
GCF_005567735.1,Caudovirales,Myoviridae,Barbavirus,Rheinheimera virus Barba8S,2020-05-15T16:39:35.047Z
GCF_005567515.1,Caudovirales,Myoviridae,Barbavirus,Rheinheimera virus Barba5S,2020-05-15T16:39:23.883Z
GCF_005394565.1,Caudovirales,Ackermannviridae,Taipeivirus,Escherichia virus KWBSE43-6,2020-05-15T16:39:14.993Z
GCF_004875685.1,Caudovirales,Autographiviridae,Lirvirus,Synechococcus virus SCBP3,2020-05-15T16:38:57.997Z
GCF_004800935.1,Caudovirales,Autographiviridae,Poseidonvirus,Synechococcus virus SCBP4,2020-05-15T16:38:49.667Z
GCF_004800895.1,Caudovirales,Siphoviridae,Kagunavirus,Raoultella virus RP180,2020-05-15T16:38:32.973Z
GCF_004800385.1,Caudovirales,Autographiviridae,Berlinvirus,Shigella virus A7,2020-05-15T16:38:25.710Z
GCF_004800365.1,Caudovirales,Myoviridae,Loughboroughvirus,Salmonella virus ZCSE2,2020-05-15T16:38:17.973Z
GCF_004800265.1,Caudovirales,Podoviridae,Sortsnevirus,Escherichia virus Sortsne,2020-05-15T16:38:09.713Z
GCF_004800205.1,Caudovirales,Autographiviridae,Bonnellvirus,Escherichia virus Lidtsur,2020-05-15T16:38:00.103Z
GCF_004800025.1,Caudovirales,Siphoviridae,Godonkavirus,Gordonia virus GodonK,2020-05-15T16:37:50.493Z
GCF_004799885.1,Caudovirales,Autographiviridae,Przondovirus,Klebsiella virus Pharr,2020-05-15T16:37:41.600Z
GCF_004610715.1,Caudovirales,Autographiviridae,Drulisvirus,Shigella phage HRP29,2020-05-15T16:37:33.807Z
GCF_004521655.1,Caudovirales,Myoviridae,Derbicusvirus,Erwinia virus Derbicus,2020-05-15T16:37:25.017Z
GCF_004521615.1,Caudovirales,Autographiviridae,Drulisvirus,Escherichia virus Minorna,2020-05-15T16:37:16.080Z
GCF_004521515.1,Caudovirales,Autographiviridae,Qadamvirus,Synechococcus virus SB28,2020-05-15T16:37:08.097Z
GCF_004521275.1,Caudovirales,Myoviridae,Goslarvirus,Escherichia virus Goslar,2020-05-15T16:36:59.927Z
GCF_004521015.1,Caudovirales,Siphoviridae,Oneupvirus,Gordonia virus BrutonGaster,2020-05-15T16:36:51.487Z
GCF_004367775.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus RLP,2020-05-15T16:36:43.487Z
GCF_004340605.1,Caudovirales,Autographiviridae,Maculvirus,Vibrio virus OWB,2020-05-15T16:36:35.690Z
GCF_004340505.1,Caudovirales,Siphoviridae,Lanavirus,Pseudomonas virus Lana,2020-05-15T16:36:27.340Z
GCF_004339065.1,Caudovirales,Siphoviridae,Metamorphoovirus,Microbacterium virus Fireman,2020-05-15T16:36:10.273Z
GCF_004325275.1,Caudovirales,Autographiviridae,Teseptimavirus,Escherichia virus NCA,2020-05-15T16:35:53.003Z
GCF_004322875.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella virus GHK3,2020-05-15T16:35:45.397Z
GCF_004319625.1,Caudovirales,Autographiviridae,Kayfunavirus,Cronobacter virus GW1,2020-05-15T16:35:37.100Z
GCF_004291235.1,Haloruvirales,Pleolipoviridae,Betapleolipovirus,Betapleolipovirus HRPV9,2020-05-15T16:35:29.743Z
GCF_004284875.1,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus virus CSA13,2020-05-15T16:35:22Z
GCF_004208795.1,Haloruvirales,Pleolipoviridae,Betapleolipovirus,Betapleolipovirus HRPV11,2020-05-15T16:35:14.370Z
GCF_004208755.1,Haloruvirales,Pleolipoviridae,Betapleolipovirus,Betapleolipovirus HRPV10,2020-05-15T16:35:06.557Z
GCF_004208735.1,Haloruvirales,Pleolipoviridae,Betapleolipovirus,Betapleolipovirus HRPV12,2020-05-15T16:34:57.943Z
GCF_004149205.1,Caudovirales,Siphoviridae,Vashvirus,Streptomyces virus Lilbooboo,2020-05-15T16:34:49.700Z
GCF_004149165.1,Caudovirales,Siphoviridae,Vashvirus,Streptomyces virus Vash,2020-05-15T16:34:41.300Z
GCF_004149105.1,Caudovirales,Siphoviridae,Austintatiousvirus,Streptomyces virus Austintatious,2020-05-15T16:34:32.563Z
GCF_004147225.1,Caudovirales,Siphoviridae,Sonalivirus,Arthrobacter virus Sonali,2020-05-15T16:34:23.643Z
GCF_004147045.1,Caudovirales,Demerecviridae,Pogseptimavirus,Vibrio virus VspSw1,2020-05-15T16:34:15.283Z
GCF_004146825.1,Caudovirales,Drexlerviridae,Tunavirus,Shigella virus 008,2020-05-15T16:34:06.540Z
GCF_004146685.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella virus 123,2020-05-15T16:33:58.843Z
GCF_004146665.1,Caudovirales,Autographiviridae,Novosibovirus,Providencia phage vB_PstP_Stuart,2020-05-15T16:33:50.393Z
GCF_004139235.1,Caudovirales,Myoviridae,Carpasinavirus,Xanthomonas virus XcP1,2020-05-15T16:33:41.947Z
GCF_004139115.1,Caudovirales,Siphoviridae,Getalongvirus,Gordonia virus Asapag,2020-05-15T16:33:31.837Z
GCF_004138835.1,Caudovirales,Demerecviridae,Epseptimavirus,Salmonella virus 329,2020-05-15T16:33:16.987Z
GCF_004138795.1,Caudovirales,Drexlerviridae,Christensenvirus,Escherichia virus IME542,2020-05-15T16:33:08.993Z
GCF_004015965.1,Caudovirales,Siphoviridae,Schubertvirus,Microbacterium virus Schubert,2020-05-15T16:33:00.477Z
GCF_004015545.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella virus KpKT21phi1,2020-05-15T16:32:52.963Z
GCF_004015525.1,Caudovirales,Autographiviridae,Friunavirus,Acinetobacter phage AbKT21phiIII,2020-05-15T16:32:45.337Z
GCF_004008895.1,Caudovirales,Siphoviridae,Getalongvirus,Gordonia virus Kenna,2020-05-15T16:32:37.867Z
GCF_004008425.1,Caudovirales,Siphoviridae,Majavirus,Arthrobacter virus Maja,2020-05-15T16:32:30.430Z
GCF_004006885.1,Caudovirales,Siphoviridae,Hiyaavirus,Streptomyces virus Hiyaa,2020-05-15T16:32:21.693Z
GCF_004006775.1,Caudovirales,Autographiviridae,Przondovirus,Klebsiella virus Henu1,2020-05-15T16:32:14.740Z
GCF_004006745.1,Caudovirales,Drexlerviridae,Sauletekiovirus,Pantoea virus AAS23,2020-05-15T16:32:05.573Z
GCF_003994835.1,Caudovirales,Autographiviridae,Kayfunavirus,Escherichia virus Ro45lw,2020-05-15T16:31:57.943Z
GCF_003991785.1,Caudovirales,Autographiviridae,Kayfunavirus,Enterobacter virus EcpYZU01,2020-05-15T16:31:50.820Z
GCF_003991685.1,Caudovirales,Herelleviridae,Harbinvirus,Lactobacillus virus Lpa804,2020-05-15T16:31:42.070Z
GCF_003991665.1,Caudovirales,Autographiviridae,Aerosvirus,Aeromonas virus ZPAH7,2020-05-15T16:31:32.067Z
GCF_003991625.1,Caudovirales,Drexlerviridae,Warwickvirus,Escherichia virus 95,2020-05-15T16:31:24.133Z
GCF_003958825.1,Caudovirales,Autographiviridae,Przondovirus,Klebsiella virus KN3-1,2020-05-15T16:31:16.567Z
GCF_003958805.1,Caudovirales,Autographiviridae,Przondovirus,Klebsiella virus KN4-1,2020-05-15T16:31:07.757Z
GCF_003958785.1,Caudovirales,Autographiviridae,Przondovirus,Klebsiella virus KN1-1,2020-05-15T16:30:54.537Z
GCF_003934415.1,Caudovirales,Drexlerviridae,Webervirus,Klebsiella virus TSK1,2020-05-15T16:30:29.940Z
GCF_003867515.1,Caudovirales,Autographiviridae,Phimunavirus,Pectobacterium virus Zenivior,2020-05-15T16:29:44.437Z
GCF_003867495.1,Caudovirales,Autographiviridae,Phimunavirus,Pectobacterium virus Phoria,2020-05-15T16:29:36.977Z
GCF_003867375.1,Caudovirales,Autographiviridae,Phimunavirus,Pectobacterium virus Koot,2020-05-15T16:29:28.963Z
